#{"t_start": 1776127287.9596298, "env_id": "None"}
r,l,t
-20377.503206,1000,18.110948
-20381.805037,1000,22.910104
-20372.338147,1000,31.568528
-20370.022652,1000,36.887513
-20376.336192,1000,45.565725
-20376.540725,1000,50.95638
-20383.927171,1000,58.702836
-20371.777246,1000,63.737197
-20385.423886,1000,71.111867
-20373.080415,1000,76.19946
-16575.843121,1000,84.10795
-20386.975582,1000,89.299916
-20387.306533,1000,96.660121
-20396.459126,1000,101.811813
-20400.544399,1000,109.322937
9611.206289,1000,114.33777
-20391.219724,1000,121.765489
-20395.355935,1000,127.205206
9596.176015,1000,134.687943
-20407.367104,1000,139.652651
-20411.65502,1000,147.408856
-20410.609622,1000,152.593155
-20416.57768,1000,159.915162
-20404.001895,1000,165.089579
-9057.45559,1000,172.746161
-20432.694357,1000,177.759798
-20420.402471,1000,185.288676
-20418.573544,1000,190.344465
-20421.18846,1000,197.737666
-20420.940387,1000,202.745692
-20430.344876,1000,210.319638
-20423.796537,1000,215.469496
-20437.327961,1000,222.693473
-20426.826483,1000,227.892716
-20437.002538,1000,235.461551
-20447.979548,1000,240.517048
-15446.030503,1000,248.200299
-8912.700322,1000,253.369489
-155.700732,1000,262.760552
-13994.502217,1000,269.129492
-20446.807238,1000,277.52128
-20449.124641,1000,282.974581
-5807.518339,1000,288.593236
-20456.920261,1000,296.120105
-20448.911829,1000,301.258892
-20454.730133,1000,308.889039
-20453.131533,1000,314.027519
-20447.420225,1000,321.734959
-20451.223619,1000,326.892115
-13730.615164,1000,334.992514
-20268.07038,1000,341.280798
-20457.045485,1000,348.737433
-20441.44428,1000,353.796811
-20448.36992,1000,361.598285
-20440.857238,1000,367.749177
-7063.267727,1000,375.32752
-12015.708204,1000,380.949176
-20435.291844,1000,389.089705
-20449.536725,1000,394.615819
-20428.984031,1000,402.296431
-20450.67681,1000,407.571425
-20436.062387,1000,414.977683
-20448.668057,1000,420.068128
-18165.173521,1000,427.548713
-20443.935742,1000,432.531041
-20441.574938,1000,439.956784
-20437.220857,1000,445.116315
-8178.311263,1000,452.473911
-4746.279222,1000,459.168218
-20454.994062,1000,467.812188
-11476.216492,1000,473.179386
-4702.167292,1000,480.634098
-20462.906582,1000,485.724051
-20434.643009,1000,493.164217
-20440.041287,1000,498.269411
-20457.203714,1000,505.461301
-17948.920952,1000,510.642516
-7543.929755,1000,518.470199
-20483.287664,1000,523.669226
-20450.201278,1000,531.298371
